Address,Price,Property Type,Bedrooms,Bathrooms,Size
"Cleveland Street, Fitzrovia, London, W1T","£2,450,000",Flat,3.0,3.0,"1,057 sq ft"
"Coleherne Court, The Little Boltons, London, SW5","£2,250,000",Apartment,4.0,2.0,"1,536 sq ft"
"15 Portman Square, Marylebone W1H","£2,450,000",Flat,3.0,3.0,"1,152 sq ft"
"North Wharf Road, Paddington, W2","£2,440,000",Apartment,3.0,2.0,"1,362 sq ft"
"One Bishopsgate Plaza, 80 Houndsditch, City Of London, EC3A","£2,440,000",Apartment,2.0,2.0,972 sq ft
"Warwick Square, Pimlico","£2,425,000",Flat,4.0,3.0,Ask agent
"Craven Hill Mews, London, W2","£2,425,000",Mews,4.0,2.0,"1,694 sq ft"
"Rona Road, London, NW3","£2,425,000",End of Terrace,5.0,2.0,"2,424 sq ft"
"Coe House, 
4 Warwick Lane, W14","£2,420,000",Flat,3.0,3.0,Ask agent
"Walbrook Apartments, 
Central Avenue, SW6","£2,415,000",Flat,3.0,2.0,"1,452 sq ft"
"Chelsea Waterfront, Kensington & Chelsea, London, SW10","£2,411,000",Apartment,2.0,2.0,"1,006 sq ft"
"Chelsea Waterfront, Waterfront Drive, London, SW10","£2,411,000",Apartment,2.0,2.0,"1,006 sq ft"
"Cheyne Court, SW3","£2,400,000",Apartment,3.0,2.0,Ask agent
"The Luxley, NW11","£2,400,000",Apartment,3.0,3.0,"1,998 sq ft"
"Northwick Terrace, St John's Wood, London, NW8","£2,400,000",Terraced,4.0,2.0,"1,592 sq ft"
Radnor Terrace Kensington W14,"£2,400,000",Penthouse,2.0,2.0,Ask agent
"West Eaton Place, Belgravia SW1X","£2,400,000",Apartment,2.0,2.0,"1,076 sq ft"
"Riverside Drive, Golders Green Road, NW11 9PX","£2,400,000",Penthouse,4.0,2.0,"3,054 sq ft"
"4-5 Bank Buiildings, High Street, London, NW10","£2,400,000",Block of Apartments,12.0,,"3,886 sq ft"
One Blackfriars,"£2,400,000",Apartment,2.0,2.0,"1,835 sq ft"
"Edward House, Radnor Terrace, London W14","£2,400,000",Apartment,2.0,3.0,Ask agent
"Clifton Gardens, Little Venice","£2,400,000",Apartment,3.0,2.0,Ask agent
"Hyde Park Towers, 1 Porchester Terrace, Hyde Park","£2,400,000",Flat,3.0,3.0,"1,249 sq ft"
"Water Lane, London, EC3R","£2,400,000",Flat,2.0,2.0,"1,455 sq ft"
"Millbank, SW1P","£2,400,000",Apartment,2.0,2.0,"1,124 sq ft"
"Brodrick Road, Wandsworth Common, Wandsworth, London, SW17","£2,400,000",Terraced,5.0,3.0,"2,416 sq ft"
"Blackthorn Avenue, Islington, London, N7","£2,250,000",Duplex,3.0,3.0,"1,747 sq ft"
"Latymer House, Piccadilly, W1J","£2,400,000",Apartment,2.0,2.0,875 sq ft
"1 Blackfriars Road, London, SE1","£2,400,000",Apartment,2.0,2.0,"1,525 sq ft"
"Egerton Drive, London, TW7","£2,400,000",End of Terrace,7.0,6.0,"3,189 sq ft"
"Blackfriars Road, London, SE1","£2,400,000",Apartment,2.0,2.0,Ask agent
"Riverside Drive, NW11","£2,400,000",Flat,5.0,3.0,"3,054 sq ft"
"Beechwood Avenue, London, N3","£2,400,000",Detached,5.0,2.0,Ask agent
"Portugal Street, London, WC2A","£2,400,000",Apartment,2.0,2.0,Ask agent
"London Square Nine Elms, Ponton Road, Nine Elms, London, SW11","£2,400,000",Apartment,3.0,2.0,"1,098 sq ft"
"Cranley Gardens, SW7","£2,400,000",Flat,2.0,2.0,885 sq ft
"The Stage, 22 Hewett Street, London, EC2A","£2,400,000",Apartment,3.0,2.0,"1,448 sq ft"
"Electric Boulevard, London, SW11","£2,400,000",Flat,3.0,2.0,"1,300 sq ft"
"Lewisham Street, London","£2,400,000",House,2.0,3.0,Ask agent
"Wimpole Street, Westminster, LONDON, W1G","£2,400,000",Apartment,3.0,1.0,"1,169 sq ft"
"Healey Street, Kentish Town","£2,400,000",Terraced,5.0,3.0,Ask agent
"Furlong Road, London, N7","£2,400,000",Apartment,4.0,3.0,"2,945 sq ft"
"Castlebar Road, Ealing, London","£2,400,000",Apartment,7.0,6.0,"2,893 sq ft"
"Chapter House, Covent Garden, WC2","£2,400,000",Apartment,2.0,1.0,"1,353 sq ft"
"Cavendish Road, Brondesbury, NW6","£2,400,000",Semi-Detached,5.0,4.0,"2,454 sq ft"
"Imperial Road, London, SW6","£2,400,000",Apartment,5.0,4.0,Ask agent
"Eccleston Square Mews, London, SW1V","£2,400,000",Mews,4.0,3.0,"1,714 sq ft"
"Beechmore House, Battersea Power Station, London","£2,400,000",Apartment,3.0,2.0,"1,345 sq ft"
"Jay Mews, Knightsbridge, London, SW7","£2,400,000",Maisonette,2.0,2.0,"1,054 sq ft"
"Parker Street, Covent Garden, WC2B","£2,400,000",Apartment,2.0,3.0,"1,353 sq ft"
"Hyde Park Mansions, Cabbell Street, London, NW1","£2,400,000",Apartment,3.0,2.0,"2,300 sq ft"
"KESTREL HOUSE, ST GEORGE WHARF, London, SW8","£2,400,000",Flat,3.0,3.0,"2,200 sq ft"
"Mount Pleasant, London, WC1X","£2,400,000",Apartment,3.0,3.0,"1,654 sq ft"
"Albert Embankment, SE1","£2,400,000",Apartment,3.0,3.0,"1,345 sq ft"
"Broad Court, 
Aldwych, WC2B","£2,400,000",Flat,2.0,2.0,"1,200 sq ft"
Upper Ground London SE1,"£2,400,000",Apartment,2.0,2.0,Ask agent
"St. George's Square, SW1V","£2,400,000",Flat,4.0,3.0,"2,430 sq ft"
"Cumberland Terrace, London, NW1","£2,400,000",Apartment,2.0,2.0,936 sq ft
"Alwyne Square, 
Canonbury, N1","£2,400,000",Terraced,3.0,3.0,Ask agent
"The Butts, Brentford","£2,400,000",Detached,5.0,2.0,Ask agent
"Alwyne Square, London","£2,400,000",House,4.0,3.0,Ask agent
"One Blackfriars, Southwark, London","£2,400,000",Apartment,2.0,2.0,"1,591 sq ft"
"Blackfriars Road, Southwark, London, SE1","£2,400,000",Flat,2.0,2.0,"1,293 sq ft"
"Admiral Square, Chelsea Harbour, London, SW10","£2,400,000",Terraced,5.0,4.0,"2,750 sq ft"
"St. Marys Gate, Kensington Green, London, W8","£2,400,000",Flat,2.0,2.0,"1,274 sq ft"
"Blackheath Park, London, SE3","£2,400,000",Terraced,5.0,3.0,"2,298 sq ft"
"Belvedere Road, Southbank Place, Waterloo, London, SE1","£2,400,000",Apartment,2.0,2.0,"1,033 sq ft"
"Northwick Terrace, 
St John's Wood, NW8","£2,400,000",Terraced,4.0,2.0,"1,592 sq ft"
"Boatmens Institute, The Butts, Brentford, TW8","£2,400,000",Detached,5.0,3.0,Ask agent
"Fitzjohns Avenue, London, NW3","£2,400,000",Apartment,3.0,2.0,Ask agent
"Holland Park Gardens, London, W14","£2,399,500",Flat,3.0,3.0,"1,822 sq ft"
"Grove End Road, St Johns Wood, NW8","£2,395,000",House,4.0,3.0,"1,766 sq ft"
"Rutland Gate, Knightsbridge, SW7","£2,395,000",Apartment,2.0,2.0,"1,195 sq ft"
"Atney Road, London, SW15","£2,395,000",Semi-Detached,6.0,4.0,"3,014 sq ft"
"Drewstead Road, London, SW16","£2,395,000",Detached,6.0,2.0,"2,881 sq ft"
"Heath Close, NW11","£2,395,000",Terraced,6.0,3.0,"2,837 sq ft"
"Elgin Crescent, London, W11","£2,395,000",Apartment,4.0,2.0,"1,658 sq ft"
"Chelsea Creek, SW6","£2,395,000",Apartment,3.0,3.0,Ask agent
"Bryanston Court II, George Street, Marylebone W1H","£2,395,000",Flat,3.0,2.0,"1,492 sq ft"
"Princes Mews, Notting Hill, London, W2","£2,395,000",Mews,2.0,2.0,"1,249 sq ft"
"Bank Chambers, 25 Jermyn Street, London, SW1Y","£2,395,000",Apartment,2.0,2.0,"1,200 sq ft"
"Ashbourne Road, London","£2,395,000",Detached,5.0,5.0,"2,756 sq ft"
"Jermyn Street, St. James's","£2,395,000",Flat,2.0,2.0,"1,259 sq ft"
"Great Portland Street, London, W1W","£2,395,000",Flat,2.0,2.0,"1,291 sq ft"
"West Heath Gardens, London, NW3","£2,395,000",Detached,5.0,1.0,"2,734 sq ft"
"The Lodge, Kensington Park Gardens, London, W11","£2,395,000",Flat,4.0,2.0,"1,431 sq ft"
"Lawn Crescent, Kew, Surrey, TW9","£2,395,000",Semi-Detached,5.0,3.0,"2,271 sq ft"
"Bryanston Square, London, W1H","£2,390,000",Apartment,2.0,2.0,"1,172 sq ft"
"Clarendon Place, Lancaster Gate","£2,390,000",Apartment,3.0,2.0,"1,324 sq ft"
"Callow Street, Chelsea, London, SW3","£2,380,000",Terraced,3.0,3.0,"1,323 sq ft"
"Kew Road, London, TW9","£2,375,000",Semi-Detached,5.0,2.0,"2,585 sq ft"
"Park Lane, Teddington, TW11","£2,375,000",Detached,6.0,5.0,"4,542 sq ft"
"Hans Crescent, Knightsbridge, London, SW1X, United Kingdom","£2,375,000",Flat,2.0,2.0,939 sq ft
"Home Park Road, Wimbledon Park, SW19","£2,375,000",Semi-Detached,6.0,2.0,Ask agent
"Clareville Street, South Kensington SW7","£2,370,000",Detached,3.0,3.0,"1,193 sq ft"
"Clareville Street, London","£2,370,000",House,3.0,3.0,Ask agent
"Great Portland Street, Fitzrovia, W1W","£2,365,000",Apartment,2.0,2.0,826 sq ft
"Sands End Lane, London, SW6 2","£2,365,000",Apartment,3.0,1.0,"1,154 sq ft"
"Park Mount Lodge, 
12-14 Reeves Mews, W1K","£2,360,000",Flat,2.0,2.0,"1,225 sq ft"
"Park Mount Lodge, 12-14 Reeves Mews, Mayfair, London, W1K","£2,360,000",Apartment,2.0,2.0,"1,225 sq ft"
"Sugar Quay, Tower Hill, EC3R","£2,355,000",Apartment,2.0,2.0,"1,163 sq ft"
"Ifield Road, London, SW10","£2,350,000",Apartment,3.0,2.0,"1,226 sq ft"
"Bryanston Court, Marylebone, London, W1H","£2,350,000",Flat,3.0,2.0,"1,577 sq ft"
"Elvaston Mews, 
South Kensington, SW7","£2,350,000",Mews,3.0,4.0,"1,762 sq ft"
"One Blackfrairs Road, London, SE1","£2,350,000",Flat,2.0,2.0,Ask agent
"Lexham Gardens, 
South Kensington, W8","£2,350,000",Flat,3.0,2.0,"1,285 sq ft"
"Oaklands Road, Totteridge, London, N20","£2,350,000",Detached,5.0,3.0,"2,600 sq ft"
"Hornton Street, London, W8","£2,350,000",Flat,3.0,2.0,"1,603 sq ft"
"Elsworthy Road, Primrose Hill, London, NW3","£2,350,000",Apartment,3.0,2.0,"1,228 sq ft"
"The Boathouse, London, SE1","£2,350,000",Flat,2.0,2.0,"2,314 sq ft"
"Bethune Road, London, N16","£2,350,000",Semi-Detached,7.0,5.0,"3,203 sq ft"
"The Tower , St George Wharf , Vauxhall","£2,350,000",Apartment,3.0,2.0,"1,450 sq ft"
"Upper Ground, South Bank, London, SE1","£2,350,000",Flat,3.0,3.0,"1,273 sq ft"
"347 & 349 Sydenham Road, Sydenham, London, SE26","£2,350,000",Block of Apartments,13.0,13.0,Ask agent
"Lawrie Park Avenue, London","£2,350,000",Detached,6.0,4.0,Ask agent
"Rodway Road, Putney, SW15","£2,350,000",Detached,6.0,2.0,"3,148 sq ft"
"Betterton Street, Covent Garden","£2,350,000",Flat,3.0,3.0,"1,841 sq ft"
"Park Mansions, Knightsbridge","£2,350,000",Apartment,3.0,2.0,Ask agent
"Palgrave Gardens, Marylebone, London, NW1","£2,350,000",Apartment,2.0,2.0,"1,221 sq ft"
"Hebden Place, London, SW8","£2,350,000",Penthouse,4.0,3.0,"2,041 sq ft"
"Beacon Hill, London","£2,350,000",Semi-Detached,5.0,3.0,Ask agent
"Barnsbury Road, 
Barnsbury, N1","£2,350,000",Terraced,5.0,2.0,Ask agent
"St Mary Abbots Terrace, London, W14","£2,350,000",Terraced,4.0,3.0,Ask agent
"East Close, Ealing, W5","£2,350,000",Detached,6.0,4.0,"3,283 sq ft"
"Linden Gardens, Notting Hill, London, W2","£2,350,000",Maisonette,3.0,3.0,"1,575 sq ft"
"Hornton Street, 
Kensington, W8","£2,350,000",Flat,3.0,2.0,"1,650 sq ft"
"Jonathan Street, Graphite Square","£2,350,000",Flat,2.0,2.0,"1,345 sq ft"
"Pearson Square, Fitzroy Place, W1T","£2,350,000",Apartment,3.0,2.0,"1,080 sq ft"
"Ifield Road, Chelsea, SW10","£2,350,000",Apartment,3.0,2.0,"1,226 sq ft"
"Aubert Park, 
Highbury, N5","£2,350,000",Semi-Detached,5.0,3.0,Ask agent
"Ennismore Gardens, London, SW7","£2,350,000",Apartment,3.0,3.0,"1,463 sq ft"
"Sydney Mews, Chelsea, SW3","£2,350,000",Apartment,3.0,3.0,"2,089 sq ft"
"Meath Street, Battersea Park, London, SW11","£2,350,000",Terraced,5.0,3.0,"2,216 sq ft"
"Linden Gardens, London, W2","£2,350,000",Apartment,3.0,3.0,"1,675 sq ft"
"St Johns Wood Park, St Johns Wood, NW8","£2,350,000",Flat,3.0,2.0,"1,121 sq ft"
"Corner House, Tottenham Street, London, W1T","£2,350,000",Flat,3.0,2.0,"1,184 sq ft"
"Aldred Road, West Hampstead","£2,350,000",Terraced,5.0,2.0,Ask agent
"Beckford Close, Kensington","£2,350,000",Apartment,4.0,3.0,"1,827 sq ft"
"Egerton Drive, Old Isleworth","£2,350,000",Detached,6.0,5.0,"3,541 sq ft"
"Sheen Road, Richmond, TW9","£2,350,000",Semi-Detached,5.0,2.0,Ask agent
"Marsh Lane, Mill Hill","£2,350,000",Detached,6.0,4.0,Ask agent
"Primrose Hill Road, London, NW3","£2,350,000",Town House,3.0,3.0,"1,753 sq ft"
"Lime Grove, London, W12","£2,350,000",Terraced,5.0,2.0,Ask agent
"Abbotswood Road, SW16","£2,350,000",Semi-Detached,5.0,4.0,Ask agent
"Bramham Gardens, London, SW5","£2,350,000",Apartment,2.0,2.0,"1,189 sq ft"
"Palace Place Mansions, 36 Kensington Court, London, W8","£2,350,000",Apartment,2.0,2.0,"1,331 sq ft"
"The Boathouse, 57 Gainsford Street, London, SE1","£2,350,000",Apartment,2.0,2.0,"2,289 sq ft"
"Uxbridge Street, London, W8","£2,350,000",Terraced,1.0,1.0,Ask agent
"Chamberlayne Road, London, NW10","£2,350,000",Semi-Detached,4.0,4.0,Ask agent
"Altissima House, Vista Chelsea Bridge, London, SW11","£2,350,000",Apartment,3.0,2.0,"1,218 sq ft"
"Rostrevor Road, 
Fulham, SW6","£2,350,000",Terraced,5.0,2.0,"2,138 sq ft"
"Elvaston Mews, London, SW7","£2,350,000",Terraced,3.0,4.0,"1,688 sq ft"
"Elvaston Mews, South Kensington, London, SW7","£2,350,000",Mews,3.0,4.0,"1,707 sq ft"
"Heath Drive, London, NW3","£2,350,000",Flat,4.0,3.0,"2,125 sq ft"
"Bryanston Court II, George Street, Marylebone, London W1H","£2,350,000",Flat,3.0,2.0,"1,551 sq ft"
"Marsh Lane, Mill Hill, NW7","£2,350,000",Detached,6.0,4.0,"4,097 sq ft"
"Eaton Rise, London, W5","£2,350,000",Detached,6.0,3.0,"3,100 sq ft"
"Warwick Square, Pimlico","£2,350,000",Flat,3.0,3.0,Ask agent
"6 Palmer Road, London, SW11","£2,350,000",Apartment,3.0,3.0,"1,531 sq ft"
"East Close, Ealing, W5","£2,350,000",Detached,5.0,3.0,Ask agent
"Defoe House, Barbican, London","£2,350,000",Apartment,2.0,2.0,"1,290 sq ft"
"Earls Court Road, 
Kensington, W8","£2,350,000",House,5.0,3.0,"2,181 sq ft"
"Egerton Drive, Old Isleworth","£2,350,000",Detached,6.0,5.0,Ask agent
"Tite Street, London, SW3","£2,350,000",Maisonette,3.0,3.0,"1,258 sq ft"
"The Tower, St. George Wharf, London","£2,350,000",Apartment,3.0,2.0,"1,423 sq ft"
"Hillview Road, Mill Hill","£2,350,000",House,6.0,4.0,Ask agent
"Hyde Park Gardens, London, W2","£2,350,000",Apartment,2.0,1.0,908 sq ft
"Audley Road, London, W5","£2,350,000",Detached,6.0,4.0,"3,894 sq ft"
"Sutherland Avenue, Maida Vale, London, W9","£2,350,000",Apartment,3.0,3.0,"1,635 sq ft"
"Ruvigny Gardens, 
West Putney, SW15","£2,350,000",House,5.0,4.0,Ask agent
"The Tower,  One St George Wharf, Vauxhall, SW8","£2,350,000",Flat,3.0,2.0,"1,465 sq ft"
"Gledhow Gardens, London","£2,350,000",Apartment,2.0,2.0,Ask agent
"St. George Wharf, London","£2,350,000",Flat,3.0,2.0,"1,465 sq ft"
"St John's Wood Terrace, London, NW8","£2,350,000",Terraced,4.0,2.0,"1,302 sq ft"
"Lillieshall Road, London, SW4","£2,350,000",Terraced,4.0,2.0,"2,404 sq ft"
"Warren House, Beckford Close, London, W14","£2,350,000",Apartment,3.0,3.0,"1,837 sq ft"
"The Galleries, Abbey Road, St John's Wood, NW8","£2,350,000",Flat,3.0,3.0,"1,825 sq ft"
"Bryanston Court II, George Street","£2,350,000",Apartment,3.0,2.0,"1,551 sq ft"
"4 Hebden Place,  London, SW8","£2,350,000",Penthouse,4.0,4.0,Ask agent
"Portman Square, Marylebone, London, W1H","£2,350,000",Apartment,3.0,3.0,"1,168 sq ft"
"Tite Street, Chelsea, London, SW3","£2,350,000",Flat,3.0,2.0,"1,259 sq ft"
"L-000974, 2 Prospect Way, Battersea","£2,350,000",Apartment,3.0,3.0,Ask agent
"Pearson Square, Fitzroy Place. London","£2,350,000",Apartment,3.0,2.0,"1,070 sq ft"
"Draycott Avenue, Chelsea","£2,350,000",Flat,3.0,2.0,Ask agent
"Bouton Place, 
Waterloo Terrace, N1","£2,350,000",Mews,4.0,3.0,Ask agent
"Ormiston Grove, Shepherd's Bush","£2,350,000",Terraced,4.0,5.0,Ask agent
"Pearson Square, W1","£2,350,000",Apartment,2.0,2.0,"1,070 sq ft"
"Riverstone Bishops Avenue, N2","£2,330,000",Apartment,2.0,2.0,"1,171 sq ft"
"Cleland House, John Islip Street, SW1P","£2,330,000",Apartment,3.0,2.0,"1,479 sq ft"
"Cleland House, John Islip Street, Westminster, SW1P","£2,330,000",Apartment,3.0,2.0,"1,479 sq ft"
Floor 44 Damac Tower,"£2,250,000",Apartment,3.0,3.0,"1,459 sq ft"
"Upper Riverside, Cutter Lane, SE10","£2,325,000",Penthouse,3.0,1.0,Ask agent
"Warwick Avenue, Little Venice, London","£2,325,000",Maisonette,4.0,4.0,Ask agent
"Oxford Road, Teddington, TW11","£2,325,000",Detached,5.0,3.0,"3,142 sq ft"
"Oxford Road, Teddington","£2,325,000",House,5.0,3.0,Ask agent
"Hurlingham Waterfront, Carnwath Road, London, SW6","£2,325,000",Flat,2.0,2.0,"1,418 sq ft"
"North Wharf Road, Paddington, W2","£2,320,000",Apartment,3.0,2.0,"1,308 sq ft"
"London Dock, London, E1W","£2,310,000",Flat,3.0,3.0,"1,366 sq ft"
"Damac Tower, London","£2,302,000",Apartment,3.0,4.0,Ask agent
"Cleveland Street, Marylebone","£2,300,000",Flat,3.0,2.0,Ask agent
"New Street, London","£2,300,000",Flat,2.0,2.0,Ask agent
"Randolph Avenue, Maida Vale, London, W9","£2,300,000",Apartment,3.0,3.0,"1,683 sq ft"
Prince Of Wales Drive London SW11,"£2,300,000",Apartment,3.0,4.0,Ask agent
"Warwick Lane, London, W14","£2,300,000",Apartment,2.0,2.0,"1,346 sq ft"
"Belsize Lane, Hampstead, London, NW3","£2,300,000",House,4.0,3.0,"1,714 sq ft"
"Quarter House, Battersea Reach","£2,300,000",Penthouse,3.0,3.0,"2,283 sq ft"
"Chatsworth Road, London, NW2","£2,300,000",Semi-Detached,6.0,5.0,"3,224 sq ft"
"St. Lukes Mews, London, W11","£2,300,000",Terraced,3.0,3.0,"1,766 sq ft"
"Montagu Square, W1H","£2,300,000",Apartment,3.0,2.0,"1,464 sq ft"
"Albion Road, 
Stoke Newington, N16","£2,300,000",Terraced,4.0,2.0,Ask agent
"Clarendon Place, Hyde Park Estate, London, W2","£2,300,000",Flat,2.0,2.0,"1,272 sq ft"
Montagu Mews West,"£2,300,000",House,2.0,2.0,Ask agent
"Wellington Court, Wellington Road, London, NW8","£2,300,000",Apartment,3.0,3.0,"1,496 sq ft"
"Sophora House, 342 Queenstown Road, London, SW11","£2,300,000",Apartment,3.0,2.0,"1,175 sq ft"
"Wallingford Avenue, London, W10","£2,300,000",Semi-Detached,4.0,3.0,"1,856 sq ft"
"Woodbourne Avenue, London, SW16","£2,300,000",Semi-Detached,7.0,3.0,"3,288 sq ft"
"Cleveland Street, London, W1T","£2,300,000",Flat,3.0,3.0,"1,131 sq ft"
"Clarendon Place, London, W2","£2,300,000",Apartment,3.0,2.0,"1,262 sq ft"
"No. 18 Porchester Gardens, London, W2","£2,300,000",Apartment,1.0,1.0,764 sq ft
"Ritherdon Road, Tooting, London, SW17","£2,300,000",House,6.0,3.0,"2,598 sq ft"
"Mildenhall Road, London, E5","£2,300,000",End of Terrace,4.0,3.0,Ask agent
"Bridgewater Avenue, Kings Tower, SW6","£2,300,000",Flat,3.0,3.0,"1,292 sq ft"
"Sutherland Avenue, Maida Vale, London, W9","£2,300,000",Apartment,3.0,2.0,"1,395 sq ft"
"Helme Close, Wimbledon, London, SW19","£2,300,000",Detached,5.0,3.0,"2,120 sq ft"
"4 Riverlight Quay,Nine Elms, London","£2,300,000",Apartment,3.0,2.0,Ask agent
"55 Ebury Street, Belgravia, SW1","£2,300,000",Flat,3.0,2.0,"1,191 sq ft"
"Scott House, Battersea Power Station","£2,300,000",Apartment,2.0,2.0,"1,483 sq ft"
"Ritherdon Road, Balham","£2,300,000",Semi-Detached,5.0,4.0,Ask agent
"New Cavendish Street, Marylebone","£2,300,000",Flat,2.0,2.0,"1,076 sq ft"
"St. Lukes Mews, London, W11","£2,300,000",Terraced,3.0,,"1,785 sq ft"
"Kensington Court, London, W8","£2,300,000",Apartment,4.0,2.0,"1,500 sq ft"
"Belsize Lane, Belsize Park, NW3","£2,300,000",House,4.0,3.0,Ask agent
"Treadgold Street, London, W11","£2,300,000",Terraced,3.0,3.0,"1,521 sq ft"
"St. Georges Square, London, SW1V","£2,300,000",Apartment,4.0,4.0,"2,419 sq ft"
"Beresford Terrace, Highbury","£2,300,000",House,6.0,3.0,Ask agent
"Armitage Road, Golders Green","£2,300,000",Detached,5.0,3.0,"3,135 sq ft"
"Carnation Way, London, SW8","£2,300,000",Apartment,3.0,2.0,"1,001 sq ft"
"Prince's Gate, London, SW7","£2,300,000",Flat,2.0,1.0,993 sq ft
"Nottingham Terrace, London, NW1","£2,300,000",Maisonette,3.0,2.0,"1,575 sq ft"
"Beaufort Street, London, SW3","£2,300,000",Maisonette,3.0,3.0,"1,536 sq ft"
"Ashbourne Road, London, W5","£2,300,000",Detached,5.0,3.0,"2,962 sq ft"
"Treadgold Street, London, W11","£2,300,000",Terraced,3.0,3.0,"1,447-1,521 sq ft"
"One Blackfriars, 1-16 Blackfriars Road, Southwark, SE1","£2,300,000",Apartment,2.0,2.0,"1,443 sq ft"
"Pico House, Prospect Way, Battersea Power Station","£2,300,000",Apartment,2.0,2.0,"1,114 sq ft"
"Beechwood Avenue, Kew, Surrey, TW9","£2,300,000",Semi-Detached,5.0,4.0,"2,497 sq ft"
"Bristol Gardens, Little Venice, London, W9","£2,300,000",Terraced,4.0,,Ask agent
"Cromwell Tower, Barbican, EC2Y","£2,300,000",Flat,3.0,2.0,"1,258 sq ft"
"Agate Road, Hammersmith","£2,300,000",House,6.0,3.0,Ask agent
"Belsize Lane, 
Belsize Park, NW3","£2,300,000",Semi-Detached,4.0,3.0,Ask agent
"Sutherland Grove, Southfields, SW18","£2,300,000",Semi-Detached,7.0,3.0,"3,176 sq ft"
"Bramshill Gardens, Dartmouth Park","£2,300,000",House,4.0,3.0,Ask agent
"Grafton Road, London, NW5","£2,300,000",Penthouse,3.0,2.0,"2,455 sq ft"
"Westover Road, SW18","£2,300,000",Terraced,4.0,3.0,"2,350 sq ft"
"Hanway Street, London, W1T","£2,300,000",Duplex,3.0,3.0,"1,294 sq ft"
"Kelfield Gardens, North Kensington, W10","£2,300,000",Terraced,4.0,2.0,"1,806 sq ft"
"Queen's Gate, South Kensington","£2,300,000",Flat,3.0,2.0,Ask agent
"The Brentford Project, Brentford, TW8","£2,300,000",Flat,3.0,3.0,"1,903 sq ft"
"Bryanston Square, Marylebone","£2,300,000",Flat,3.0,2.0,Ask agent
"Prince's Square, W2","£2,300,000",Flat,2.0,3.0,Ask agent
"Westbourne Park Road, W11","£2,300,000",Maisonette,3.0,3.0,Ask agent
"Ritherdon Road, Balham","£2,300,000",House,6.0,4.0,Ask agent
"Randolph Avenue, 
Little Venice, W9","£2,300,000",Flat,3.0,3.0,"1,650 sq ft"
"Audley Road, Ealing, London W5","£2,300,000",Detached,5.0,4.0,Ask agent
"Star Place, London, E1W","£2,300,000",Apartment,3.0,3.0,Ask agent
"Belsize Lane, Belsize Park, London, NW3","£2,300,000",Semi-Detached,4.0,3.0,"1,710 sq ft"
"Richmond Avenue, 
Barnsbury, N1","£2,300,000",Maisonette,4.0,1.0,Ask agent
"Apartment A,  Carnation Way, London","£2,300,000",Apartment,3.0,2.0,Ask agent
"Fairlawn Grove, Chiswick","£2,300,000",House,5.0,2.0,Ask agent
Prime Central London,"£2,299,000",Retirement Property,2.0,2.0,"1,072 sq ft"
"South Audley Street, Mayfair, London, W1K","£2,295,000",Flat,2.0,2.0,"1,463 sq ft"
"Clarendon Gardens, Little Venice W9","£2,295,000",Apartment,5.0,3.0,"1,825 sq ft"
"Blomfield Road, Little Venice, London, W9","£2,295,000",Flat,2.0,2.0,"1,446 sq ft"
"Southampton Street, Covent Garden, WC2E","£2,295,000",Apartment,3.0,2.0,"1,111 sq ft"
"South Audley Street, London, W1K","£2,295,000",Duplex,2.0,2.0,"1,205 sq ft"
"Clarendon Gardens, Little Venice, London, W9","£2,295,000",Flat,6.0,3.0,"1,825 sq ft"
"Pagoda Avenue, Richmond, TW9","£2,295,000",House,5.0,,Ask agent
"28 Clarendon Gardens, London, W9","£2,295,000",Apartment,6.0,4.0,"1,854 sq ft"
"Redcliffe Square, London, SW10","£2,295,000",Flat,2.0,2.0,"1,244 sq ft"
"The Atrium, Park Road, St Johns Wood, NW8","£2,295,000",Apartment,2.0,2.0,"1,227 sq ft"
"Clarendon Gardens, 
Warwick Avenue Station, W9","£2,295,000",Flat,6.0,4.0,"1,825 sq ft"
"Clarendon Gardens, London, W9","£2,295,000",Apartment,6.0,6.0,Ask agent
"Blomfield Road, Little Venice, London, W9","£2,295,000",Apartment,2.0,2.0,"1,289 sq ft"
"Swanage Road, London, SW18","£2,295,000",Semi-Detached,5.0,3.0,"2,884 sq ft"
"Rathbone Place, London, W1T","£2,295,000",Apartment,3.0,2.0,"1,088 sq ft"
"Butlers Wharf Building, 36 Shad Thames, London, SE1","£2,295,000",Apartment,2.0,2.0,Ask agent
"Litchfield Way, Hampstead Garden Suburb, NW11","£2,295,000",Semi-Detached,6.0,,Ask agent
"Savoy Court, Covent Garden, London, WC2R","£2,290,000",Flat,2.0,2.0,"1,169 sq ft"
"One Blackfriars, Bankside, London","£2,280,000",Apartment,2.0,2.0,"1,362 sq ft"
"The Corniche, 24 Albert Embankment, SE1","£2,280,000",Apartment,2.0,2.0,"1,491 sq ft"
"Dover Street, Mayfair, London, W1S","£2,280,000",Flat,3.0,2.0,"1,141 sq ft"
"Marwood Square, London, N10","£2,275,000",House,5.0,3.0,Ask agent
"The Bishops Avenue, Hampstead, N2","£2,275,000",Flat,2.0,2.0,"1,525 sq ft"
"Great Portland Street, Fitzrovia, W1W","£2,275,000",Apartment,2.0,2.0,826 sq ft
"Great Portland Street, London","£2,275,000",Apartment,2.0,2.0,Ask agent
